REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1994,YAM, 100.00 , 5.00 , 500.00 
ASHANTI,OFFINSO,1994,YAM, 600.00 , 10.00 ," 6,000.00 "
ASHANTI,ADANSI  SOUTH,1994,YAM, 400.00 , 8.00 ," 3,200.00 "
ASHANTI,ASANTE AKIM NORTH,1994,YAM, 600.00 , 9.20 ," 5,520.00 "
ASHANTI,ASANTE AKIM SOUTH,1994,YAM, 200.00 , 6.00 ," 1,200.00 "
EASTERN,BIRIM SOUTH,1994,MAIZE," 9,000.00 ", 1.80 ," 16,200.00 "
EASTERN,WEST AKIM,1994,MAIZE," 11,600.00 ", 1.90 ," 22,040.00 "
EASTERN,SUHUM KRABOA COALTAR,1994,MAIZE," 9,000.00 ", 1.90 ," 17,100.00 "
EASTERN,AKUAPIM SOUTH,1994,MAIZE," 5,500.00 ", 1.80 ," 9,900.00 "
EASTERN,AKUAPIM NORTH,1994,MAIZE," 9,000.00 ", 2.10 ," 18,900.00 "
EASTERN,NEW JUABEN,1994,MAIZE," 1,200.00 ", 1.50 ," 1,800.00 "
EASTERN,YILO KROBO,1994,MAIZE," 9,100.00 ", 2.40 ," 21,840.00 "
EASTERN,EAST AKIM,1994,MAIZE," 4,000.00 ", 1.00 ," 4,000.00 "
EASTERN,KWAEBIBIREM,1994,MAIZE," 9,000.00 ", 1.90 ," 17,100.00 "
EASTERN,BIRIM NORTH,1994,MAIZE," 4,500.00 ", 1.80 ," 8,100.00 "
EASTERN,KWAHU SOUTH,1994,MAIZE," 5,500.00 ", 1.80 ," 9,900.00 "
EASTERN,FANTEAKWA,1994,MAIZE," 12,400.00 ", 1.90 ," 23,560.00 "
EASTERN,KWAHU NORTH,1994,MAIZE," 11,500.00 ", 1.90 ," 21,850.00 "
EASTERN,ASUOGYAMAN,1994,MAIZE," 6,300.00 ", 2.40 ," 15,120.00 "
